Key ID,CMIS Name,Page,Byte,Byte Length,Mask Bytes,Bank Scope,Value Type,Unit,Scale,Byte Order,Conversion Note,Access,Behavior,Requirement,Condition,Description,Reference Section,Reference Table,SONiC Cross-check,SONiC Field
MciSpeedConfiguration,MciSpeedConfiguration,,27,1,0x0F,,bitfield4,,,,,WO,SelfClearing,Rqd,,"For SPIMCI: The host configures the speed used for SPI bus transactions. The module uses this MciSpeedConfiguration field to compute the number of fill bytes if it advertises its AddressDecodingDurationFormat as “time” (0h:213.7 = 1). 0: 1MHz 1: 2MHz 2: 4MHz 3: 8MHz 4: 12MHz 5: 16MHz 6: 20MHz 7: 30MHz 8: 40MHz 9: 50MHz After a change, the next bus transaction uses the new speed. The initial speed setting of the module on exit from the MgmtInit state is always 1MHz (MciSpeedConfiguration = 0).",,8-11,Not in SONiC,
Reserved.Lwr.28,Reserved,,28,1,,,,,,,,,,,,Reserved[1],,8-11,Not in SONiC,
Reserved.Lwr.29,Reserved,,29,2,,,,,,,,,,,,Custom [2],,8-11,Not in SONiC,
CdbCmdCompleteMask2,CdbCmdCompleteMask2,,31,1,0x80,,bool,,,,,RW,Normal,Adv,,Mask bit for CdbCmdCompleteFlag2,,8-12,Not in SONiC,
CdbCmdCompleteMask1,CdbCmdCompleteMask1,,31,1,0x40,,bool,,,,,RW,Normal,Adv,,Mask bit for CdbCmdCompleteFlag1,,8-12,Not in SONiC,
Reserved.Lwr.31,Reserved,,31,1,0x38,,,,,,,,,,,Reserved,,8-12,Not in SONiC,
DataPathFirmwareErrorMask,DataPathFirmwareErrorMask,,31,1,0x04,,bool,,,,,RW,Normal,Adv,,Mask bit for DataPathFirmwareErrorFlag,,8-12,Not in SONiC,
ModuleFirmwareErrorMask,ModuleFirmwareErrorMask,,31,1,0x02,,bool,,,,,RW,Normal,Adv,,Mask bit for ModuleFirmwareErrorFlag,,8-12,Not in SONiC,
ModuleStateChangedMask,ModuleStateChangedMask,,31,1,0x01,,bool,,,,,RW,Normal,Rqd,,Mask bit for ModuleStateChangedFlag,,8-12,Not in SONiC,
VccMonLowWarningMask,VccMonLowWarningMask,,32,1,0x80,,bool,,,,,RW,Normal,Adv,,Mask bit for VccMonLowWarningFlag,,8-12,Not in SONiC,
VccMonHighWarningMask,VccMonHighWarningMask,,32,1,0x40,,bool,,,,,RW,Normal,Adv,,Mask bit for VccMonHighWarningFlag,,8-12,Not in SONiC,
VccMonLowAlarmMask,VccMonLowAlarmMask,,32,1,0x20,,bool,,,,,RW,Normal,Adv,,Mask bit for VccMonLowAlarmFlag,,8-12,Not in SONiC,
VccMonHighAlarmMask,VccMonHighAlarmMask,,32,1,0x10,,bool,,,,,RW,Normal,Adv,,Mask bit for VccMonHighAlarmFlag,,8-12,Not in SONiC,
TempMonLowWarningMask,TempMonLowWarningMask,,32,1,0x08,,bool,,,,,RW,Normal,Adv,,Mask bit for TempMonLowWarningFlag,,8-12,Not in SONiC,
TempMonHighWarningMask,TempMonHighWarningMask,,32,1,0x04,,bool,,,,,RW,Normal,Adv,,Mask bit for TempMonHighWarningFlag,,8-12,Not in SONiC,
TempMonLowAlarmMask,TempMonLowAlarmMask,,32,1,0x02,,bool,,,,,RW,Normal,Adv,,Mask bit for TempMonLowAlarmFlag,,8-12,Not in SONiC,
TempMonHighAlarmMask,TempMonHighAlarmMask,,32,1,0x01,,bool,,,,,RW,Normal,Adv,,Mask bit for TempMonHighAlarmFlag,,8-12,Not in SONiC,
Aux2MonLowWarningMask,Aux2MonLowWarningMask,,33,1,0x80,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux2MonLowWarningFlag,,8-12,Not in SONiC,
Aux2MonHighWarningMask,Aux2MonHighWarningMask,,33,1,0x40,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux2MonHighWarningFlag,,8-12,Not in SONiC,
Aux2MonLowAlarmMask,Aux2MonLowAlarmMask,,33,1,0x20,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux2MonLowAlarmFlag,,8-12,Not in SONiC,
Aux2MonHighAlarmMask,Aux2MonHighAlarmMask,,33,1,0x10,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux2MonHighAlarmFlag,,8-12,Not in SONiC,
Aux1MonLowWarningMask,Aux1MonLowWarningMask,,33,1,0x08,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux1MonLowWarningFlag,,8-12,Not in SONiC,
Aux1MonHighWarningMask,Aux1MonHighWarningMask,,33,1,0x04,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux1MonHighWarningFlag,,8-12,Not in SONiC,
Aux1MonLowAlarmMask,Aux1MonLowAlarmMask,,33,1,0x02,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux1MonLowAlarmFlag,,8-12,Not in SONiC,
Aux1MonHighAlarmMask,Aux1MonHighAlarmMask,,33,1,0x01,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux1MonHighAlarmFlag,,8-12,Not in SONiC,
CustomMonLowWarningMask,CustomMonLowWarningMask,,34,1,0x80,,bool,,,,,RW,Normal,Adv,,Mask bit for CustomMonLowWarningFlag,,8-12,Not in SONiC,
CustomMonHighWarningMask,CustomMonHighWarningMask,,34,1,0x40,,bool,,,,,RW,Normal,Adv,,Mask bit for CustomMonHighWarningFlag,,8-12,Not in SONiC,
CustomMonLowAlarmMask,CustomMonLowAlarmMask,,34,1,0x20,,bool,,,,,RW,Normal,Adv,,Mask bit for CustomMonLowAlarmFlag,,8-12,Not in SONiC,
CustomMonHighAlarmMask,CustomMonHighAlarmMask,,34,1,0x10,,bool,,,,,RW,Normal,Adv,,Mask bit for CustomMonHighAlarmFlag,,8-12,Not in SONiC,
Aux3MonLowWarningMask,Aux3MonLowWarningMask,,34,1,0x08,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux3MonLowWarningFlag,,8-12,Not in SONiC,
Aux3MonHighWarningMask,Aux3MonHighWarningMask,,34,1,0x04,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux3MonHighWarningFlag,,8-12,Not in SONiC,
Aux3MonLowAlarmMask,Aux3MonLowAlarmMask,,34,1,0x02,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux3MonLowAlarmFlag,,8-12,Not in SONiC,
Aux3MonHighAlarmMask,Aux3MonHighAlarmMask,,34,1,0x01,,bool,,,,,RW,Normal,Adv,,Mask bit for Aux3MonHighAlarmFlag,,8-12,Not in SONiC,
Reserved.Lwr.35,Reserved,,35,1,,,,,,,,,,,,Reserved[1] for Masks,,8-12,Not in SONiC,
Reserved.Lwr.36,Reserved,,36,1,,,,,,,,,,,,Custom[1] Module level Masks,,8-12,Not in SONiC,
CdbStatus1,CdbStatus1,,37,1,,,bitfield8,,,,,RO,Normal,Adv,,Status of the most recent CDB command in CDB instance 1,,8-13,Agrees,Cdb1Status
CdbStatus2,CdbStatus2,,38,1,,,bitfield8,,,,,RO,Normal,Adv,,Status of the most recent CDB command in CDB instance 2,,8-13,Not in SONiC,
